SN,Category,Group,Code,Activity Name ,Third Party,When,Risk Rating,Industry Risk,DNFBP,Notes,Description,Related Business Activities,Generated Keywords,,,,,
1,Agriculture,14,140,Animal production,,N/A,Low,,,,"This group includes raising (farming) and breeding of all animals, except aquatic animals",-,"animal production, livestock farming, animal husbandry, livestock management, breeding animals, farm animals, agricultural livestock, animal rearing",,,,,
2,Agriculture,,142.01,Raising of horses and other equines,,N/A,Low,,,,"This class includes:—raising and breeding of horses (including racing horses), asses, mules or hinnies
This class excludes:—operation of racing and riding stables.",-,"horse breeding, equine raising, horse farming, raising horses, breeding equines, agricultural horse production, equestrian farming, livestock management",,,,,
3,Manufacturing,141,1410,"Manufacture of wearing apparel, except fur apparel",Dubai Municipality (DM),POST,Low,,,,"This class includes the manufacture of wearing apparel. The material used may be of any 
kind and may be coated, impregnated or rubberized.",-,"apparel manufacturing, clothing production, garment making, textile apparel, outfit manufacturing, fashion production, ready-to-wear manufacturing, clothing factory",,,,,
4,Manufacturing,,1410.91,Arabic Men Wears Tailoring,,N/A,Low,,,,"Includes shops engaged in tailoring Arab men's wear, such as ""dishdashas"" and others.",-,"Arabic men's clothing tailoring, Arab men's wear production, dishdasha manufacturing, traditional Arabic attire, men's garment tailoring, custom Arabic suits, bespoke Arabic clothing, Emirati dress making",,,,,
5,Manufacturing,,1410.92,Men Tailoring,,N/A,Low,,,,"Includes shops engaged in tailoring men's and boys' suits, shirts and pyjamas, also, men formal uniforms such as school clothing as well as work wear for staff and workers in the public and private sector, it excludes military clothing and uniforms, such firms are allowed to sell the activity-related materials, such as, textiles, and garments accessories in non-commercial quantities",-,"men's tailoring, male garment making, suit tailoring, custom shirts, boys' clothing, formal wear production, men's clothing manufacture, tailoring services",,,,,
6,Manufacturing,,1410.93,Arabic Gowns Tailoring,,N/A,Low,,,,Includes tailoring the wear over men gowns from knitted and crocheted fabrics.,-,"Arabic gown tailoring, men's gown manufacturing, traditional gown production, custom gown making, knitted gown tailoring, crocheted gown manufacturing, Arabic garment production, bespoke gown tailoring",,,,,
7,Manufacturing,,1410.94,Ladies Gowns Tailoring,,N/A,Low,,,,,-,"ladies gown tailoring, women's dress making, custom gown manufacturing, evening gown production, gown alterations, bridal dress tailoring, fashion design for women, bespoke gown creation",,,,,
8,Manufacturing,,1410.95,Ladies Wears Tailoring & Embroidery,,N/A,Low,,,,"Includes firms engaged in tailoring women and girls’ wearing apparel, such as, gowns, dresses, skirts, blouses, party dresses, wedding dresses, nightdresses, headgear and face cover, such as, veils, hijab, niqab,  also, women formal uniforms for school and workwomen in the public and private sector, it excludes military clothing and uniforms, such firms are allowed to sell the activity-related materials, such as, textiles, and garments accessories in non-commercial quantities",-,"ladies tailoring, women's apparel manufacturing, dressmaking, embroidery services, women's clothing production, gown tailoring, custom dresses, ladies wear design",,,,,
9,Manufacturing,,1410.98,Ladies Wears Tailoring & Embroidery Workshop,,N/A,Low,,,,"Includes shops comprising numerous sewing machines and tailors for sewing ladies apparel, as well as formal uniforms for schools and women workers in public and private sector, except military clothing and uniforms, it also involves knitting and embroidering works.",-,"ladies tailoring, women's clothing alteration, embroidery services, garment manufacturing, custom dresses, sewing workshop, women's apparel design, ladies wear production",,,,,
10,Manufacturing,,1410.99,Gents Wears Tailoring & Embroidery Workshop,,N/A,Low,,,,,-,"gents wear tailoring, men's clothing alteration, embroidery workshop, custom suits making, tailored menswear, garment embroidery, men's fashion tailoring, bespoke tailoring",,,,,
